entry_id,entry_1_id,entry_2_id
slimfastq/*,sourceforge/slimfastq/None/None,github/slimfastq/None/v2.04
pyfastx/*,biotools/pyfastx/undefined/None,github/pyfastx/None/2.2.0
prinseq/cmd,galaxy/prinseq/cmd/0.20.4,bioconda_recipes/prinseq/cmd/0.20.4
bioconductor-lipidr/lib,biotools/lipidr/lib/None,bioconda_recipes/bioconductor-lipidr/lib/2.16.0
repet/cmd,biotools/repet/cmd/None,biotools/repet/cmd/v3.0
bmge/cmd,biotools/bmge/cmd/1.12,bioconda_recipes/bmge/cmd/1.12
rfmix/cmd,biotools/rfmix/cmd/None,bioconda_recipes/rfmix/cmd/2.03.r0.9505bfa
metilene/cmd,galaxy/metilene/cmd/0.2.6.1,bioconda_recipes/metilene/cmd/0.2.8
hyphy/*,sourceforge/hyphy/None/None,github/hyphy/None/2.5.65.actual
raresim/lib,biotools/raresim/lib/None,bioconductor/raresim/lib/1.11.0
kma/cmd,bioconda_recipes/kma/cmd/1.4.14,biotools/kma/cmd/1.4.0
translig/cmd,biotools/translig/cmd/None,bioconda_recipes/translig/cmd/1.3
racon/*,biotools/racon/undefined/None,github/racon/None/1.5.0
pizzly/cmd,galaxy/pizzly/cmd/0.37.3.1,bioconda_recipes/pizzly/cmd/0.37.3
sparsedossa2/lib,biotools/sparsedossa2/lib/None,bioconductor/sparsedossa2/lib/0.99.1
bioconductor-crisprverse/lib,biotools/crisprverse/lib/None,bioconda_recipes/bioconductor-crisprverse/lib/1.4.0
percolator/cmd,biotools/percolator/cmd/None,bioconda_recipes/percolator/cmd/3.5
ncbi-fcs-gx/cmd,biotools/fcs/undefined/None,bioconda_recipes/ncbi-fcs-gx/cmd/0.5.0
banner/cmd,sourceforge/banner/None/None,bioconda_recipes/banner/cmd/0.0.2
escher/lib,bioconda_recipes/escher/lib/1.7.3,bioconductor/escher/lib/1.7.0
roddy/cmd,biotools/roddy/workbench/unreleased,biotools/roddy/cmd/3+_versions
gplas/cmd,bioconda_recipes/gplas/cmd/0.7.0,biotools/gplas/cmd/None
nebulosa/lib,biotools/nebulosa/lib/None,bioconductor/nebulosa/lib/1.17.0
crossicc/lib,biotools/crossicc/lib/None,bioconductor/crossicc/lib/1.7.0
instrain/*,biotools/instrain/undefined/None,github/inStrain/None/v1.3.1
pydockweb/web,biotools/pydockweb/web/1,biotools/pydockweb/web/3.5.1
bioconductor-mixomics/lib,biotools/mixomics/lib/None,bioconda_recipes/bioconductor-mixomics/lib/6.26.0
mustang/cmd,bioconda_recipes/mustang/cmd/3.2.3,biotools/mustang/cmd/None
consent/cmd,biotools/consent/cmd/None,bioconda_recipes/consent/cmd/2.2.2
mendelscan/*,sourceforge/mendelscan/None/None,github/mendelscan/None/1.2.2
snakemake/cmd,biotools/snakemake/cmd/None,bioconda_recipes/snakemake/cmd/8.5.3
sina/*,biotools/sina/web/1.3.1,bioconda_recipes/sina/cmd/1.7.2
metabuli/cmd,biotools/metabuli/cmd/None,bioconda_recipes/metabuli/cmd/1.0.3
bamtools/suite,galaxy/bamtools/cmd/2.4.0,biotools/bamtools/suite/None
mea/cmd,bioconda_recipes/mea/cmd/0.6.4,biotools/mea/cmd/1.0
plink/cmd,bioconda_recipes/plink/cmd/1.90b6.21,biotools/plink/cmd/none
masurca/cmd,biotools/masurca/cmd/None,bioconda_recipes/masurca/cmd/4.1.1
msaboot/cmd,galaxy/msaboot/cmd/0.1.2,bioconda_recipes/msaboot/cmd/0.1.2
morpheus/cmd,galaxy/morpheus/cmd/2.255.0,bioconda_recipes/morpheus/cmd/287
lra/*,sourceforge/lra/None/None,github/LRA/None/v1.3.7.1
longstitch/cmd,biotools/longstitch/cmd/None,bioconda_recipes/longstitch/cmd/1.0.5
mash/cmd,biotools/mash/cmd/None,bioconda_recipes/mash/cmd/2.3
unitas/cmd,bioconda_recipes/unitas/cmd/1.6.1,biotools/unitas/cmd/None
xxmotif/cmd,biotools/xxmotif/cmd/None,bioconda_recipes/xxmotif/cmd/1.6
oncocnv/cmd,biotools/oncocnv/cmd/None,bioconda_recipes/oncocnv/cmd/7.0
ccat/cmd,bioconda_recipes/ccat/cmd/3.0,biotools/ccat/cmd/none
diseasemeth/*,biotools/diseasemeth/db/None,biotools/diseasemeth/db/3.0
tiaas/*,biotools/tiaas/undefined/None,biotools/tiaas/undefined/2.1.0
kaptive/cmd,biotools/kaptive/cmd/None,bioconda_recipes/kaptive/cmd/2.0.6
sap/cmd,biotools/sap/undefined/None,bioconda_recipes/sap/cmd/1.1.3
